generation,rank,stage,fitness,mean_score,std_score,mean_steps,mean_max_tile,rate_2048,rate_4096,rate_8192,w_lost_penalty,w_empty,w_merges,w_monotonicity,w_sum
7,13,fast,26102.139790,23188.000000,8383.870864,1222.000000,1706.666667,0.666667,0.000000,0.000000,303526.377735,487.181209741,1053.21569677,101.179000406,18.3836003002
7,14,fast,23337.345851,22384.000000,14266.416322,1244.666667,1194.666667,0.333333,0.000000,0.000000,234875.514765,572.952037709,1658.02100746,146.827832357,27.0713653942
7,15,fast,15077.889149,13840.000000,8575.550361,771.333333,1109.333333,0.333333,0.000000,0.000000,241847.832526,465.752190175,1526.01145832,155.980074627,29.7371732504
7,16,fast,13044.580062,13249.333333,4095.065432,817.000000,853.333333,0.000000,0.000000,0.000000,203344.9255,261.754406035,1356.30777191,142.544384664,19.2699606364
8,1,full,119434.249331,95193.333333,21848.346716,4220.000000,5461.333333,1.000000,1.000000,0.333333,212541.205699,647.687746532,1376.01443144,125.244278018,21.0750679803
8,2,full,92743.611871,75884.000000,2807.762573,3504.666667,4096.000000,1.000000,1.000000,0.000000,252021.505932,590.785997261,1525.20287734,149.184171621,31.1881069977
8,3,full,92743.611871,75884.000000,2807.762573,3504.666667,4096.000000,1.000000,1.000000,0.000000,252021.505932,590.785997261,1525.20287734,149.184171621,31.1881069977
8,4,full,92743.611871,75884.000000,2807.762573,3504.666667,4096.000000,1.000000,1.000000,0.000000,252021.505932,590.785997261,1525.20287734,149.184171621,31.1881069977
8,5,full,85752.098052,69352.000000,11998.038951,3193.333333,4096.000000,1.000000,1.000000,0.000000,241478.445901,496.871868434,1417.49995375,116.868152983,36.1049020493
8,6,full,77627.006049,61058.666667,8633.212354,2804.666667,4096.000000,1.000000,1.000000,0.000000,185794.256205,466.743617863,1333.0575105,126.132354527,29.5450837526
8,7,fast,33173.239973,30174.666667,6695.200536,1617.000000,1706.666667,0.666667,0.000000,0.000000,238882.905535,525.268919772,1448.74906868,135.4981,31.1965816406
8,8,fast,31899.668170,29020.000000,9073.303257,1527.333333,1706.666667,0.666667,0.000000,0.000000,283113.615555,532.8322014,1383.3885779,138.359444458,20.0654534585
8,9,fast,31642.212716,26929.333333,5742.412346,1368.666667,2048.000000,1.000000,0.000000,0.000000,250603.008162,586.054376969,1444.31323472,152.588663751,31.1859427603
8,10,fast,31003.604833,28333.333333,13261.236678,1531.333333,1536.000000,0.666667,0.000000,0.000000,216556.58602,499.680240068,1387.40955283,120.583825525,30.7985465386
8,11,fast,29426.805390,26517.333333,8477.225542,1384.333333,1706.666667,0.666667,0.000000,0.000000,197147.967148,571.846929144,1543.40760868,143.735304063,17.4646382284
